describe,evalute,introduce,movie_name,serial_number,star
,,1990/美国/剧情奇幻爱情,剪刀手爱德华,90,
,,1995/美国/动作传记剧情历史战争,勇敢的心,91,
,,2001/法国德国/喜剧爱情,天使爱美丽,92,
,,1999/中国香港/喜剧剧情爱情,喜剧之王,93,
,,2003/美国/剧情悬疑惊悚,致命ID,94,
,,2003/美国/动作冒险奇幻,加勒比海盗,95,
,,2005/美国加拿大/剧情爱情同性家庭,断背山,96,
,,2011/美国英国/奇幻冒险,哈利·波特与死亡圣器(下),97,
,,2003/韩国/剧情动作犯罪悬疑惊悚,杀人回忆,98,
,,2012/丹麦瑞典/剧情,狩猎,99,
,,2017/意大利法国巴西美国荷兰德国/剧情爱情同性,请以你的名字呼唤我,100,
,,1997/日本/动画奇幻冒险,幽灵公主,101,
,,1994/中国大陆中国香港/剧情爱情,阳光灿烂的日子,102,
,,2014/日本/剧情,小森林 夏秋篇,103,
,,1994/中国香港/剧情爱情,重庆森林,104,
,,2008/日本/剧情,入殓师,105,
,,1999/美国/剧情悬疑惊悚,第六感,106,
,,2013/韩国/剧情喜剧家庭,7号房的礼物,107,
,,2006/日本/动画悬疑科幻惊悚,红辣椒,108,
,,2014/美国/剧情犯罪悬疑惊悚,消失的爱人,109,
,,2015/日本/剧情,小森林 冬春篇,110,
,,1995/美国奥地利瑞士/剧情爱情,爱在黎明破晓前,111,
,,2000/中国台湾日本/剧情爱情家庭,一一,112,
,,1995/日本/剧情爱情动画,侧耳倾听,113,
,,1993/中国香港/喜剧爱情古装,唐伯虎点秋香,114,
,,2011/美国/剧情,超脱,115,
,,2009/澳大利亚/剧情喜剧动画,玛丽和马克思,116,
,,1987/中国香港/爱情奇幻武侠古装,倩女幽魂,117,
,,2012/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士崛起,118,
,,2010/日本/剧情惊悚,告白,119,
,,2003/美国/剧情家庭奇幻冒险,大鱼,120,
,,1996/中国香港/剧情爱情,甜蜜蜜,121,
,,2011/韩国/剧情喜剧,阳光姐妹淘,122,
,,2004/日本/剧情,无人知晓,123,
,,2011/日本/剧情爱情动画奇幻,萤火之森,124,
,,1993/中国香港/喜剧奇幻武侠古装,射雕英雄传之东成西就,125,
,,2010/美国/动画奇幻冒险,驯龙高手,126,
,,2014/美国/喜剧动作科幻动画冒险,超能陆战队,127,
,,2004/美国/喜剧剧情爱情,幸福终点站,128,
,,2010/日本/动画奇幻冒险,借东西的小人阿莉埃蒂,129,
,,1999/日本/剧情喜剧,菊次郎的夏天,130,
,,2004/美国法国/剧情爱情,爱在日落黄昏时,131,
,,2013/韩国/剧情犯罪悬疑,恐怖直播,132,
,,1993/美国/剧情犯罪,完美的世界,133,
,,2010/美国法国/喜剧动画冒险,神偷奶爸,134,
,,2001/美国/儿童喜剧动画奇幻冒险,怪兽电力公司,135,
,,2004/中国大陆中国香港/动作喜剧犯罪奇幻,功夫,136,
,,2017/日本/纪录片,人生果实,137,
,,2010/美国/喜剧动画奇幻冒险,玩具总动员3,138,
,,2016/美国澳大利亚/剧情传记历史战争,血战钢锯岭,139,
,,2005/法国英国美国/剧情爱情,傲慢与偏见,140,
,,1984/日本/动画奇幻冒险,风之谷,141,
,,2013/英国/喜剧爱情奇幻,时空恋旅人,142,
,,1983(中国大陆)/中国大陆/动画奇幻,天书奇谭,143,
,,1990/美国/剧情犯罪,教父3,144,
,,2002/巴西法国/犯罪剧情,上帝之城,145,
,,2004/美国/悬疑惊悚恐怖,电锯惊魂,146,
,,1993/中国台湾美国/剧情喜剧爱情同性家庭,喜宴,147,
,,2012/美国/剧情动作西部冒险,被解救的姜戈,148,
,,1986/中国香港/剧情动作犯罪,英雄本色,149,
,,1954/日本/动作冒险剧情,七武士,150,
,,1979/中国大陆/冒险动画奇幻,哪吒闹海,151,
,,2007/美国德国/动作悬疑惊悚,谍影重重3,152,
,,2010/中国香港中国大陆/剧情家庭,岁月神偷,153,
,,2001/美国/剧情家庭,我是山姆,154,
,,2016/韩国/动作惊悚灾难,釜山行,155,
,,2018/美国/动作科幻冒险,头号玩家,156,
,,1991/中国香港/剧情喜剧动作犯罪,纵横四海,157,
,,2013/美国/喜剧动画冒险,疯狂原始人,158,
,,2017/美国英国/剧情犯罪,三块广告牌,159,
,,2014/中国大陆/剧情犯罪悬疑,心迷宫,160,
,,2004/英国美国/奇幻冒险,哈利·波特与阿兹卡班的囚徒,161,
,,2013/美国/剧情传记同性,达拉斯买家俱乐部,162,
,,1988/日本/动画剧情战争,萤火虫之墓,163,
,,2014/阿根廷西班牙/剧情喜剧犯罪,荒蛮故事,164,
,,2004/英国南非意大利/剧情历史战争,卢旺达饭店,165,
,,2003/英国美国法国/喜剧剧情爱情,真爱至上,166,
